ID,target,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26
11,True,0.1492,-1.8309,-9.5872,-0.2712,-0.0312,0.035,0.0135,1.0099,-0.0032,-0.1215,-0.5712,0.0176,-0.1032,0.4385,0.1663,3.6111,-0.6273,-0.509,-22.1734,2.4242,-0.3258,0.1725,-0.4819,9.4314,-0.3233,2.7725,2.1351
12,False,0.0584,4.2215,-11.5557,-0.1533,-0.5123,-0.4039,0.0122,-3.2025,0.6582,-0.0784,-2.2514,0.02,3.7089,0.3232,-0.0762,,-0.6347,0.8837,-15.3633,-0.1341,0.0116,-0.23,0.7826,12.0683,0.1997,3.8306,0.8958
13,False,0.276,3.5441,-6.3409,-0.075,1.1339,1.6558,0.0236,-4.5063,-0.4795,0.2158,-0.0989,-0.0084,-0.7471,0.0595,0.0518,,0.4658,-0.7265,-7.4952,-6.3877,0.4403,0.2451,-3.6382,6.2956,-0.244,-0.3728,-5.1528
14,True,0.4576,1.4128,-8.3121,-0.0975,-0.8956,-1.1259,0.009,5.8741,-0.431,-0.071,2.1535,0.0057,-0.1178,0.6431,-0.2395,3.5095,-0.4907,-0.8472,20.3404,1.7136,0.0417,-0.0538,2.3899,8.1024,-0.2353,5.8406,1.894
15,True,0.1651,1.9349,-3.777,-0.1194,-0.4446,-1.6426,0.006,-6.0609,-0.5941,-0.1364,-0.6348,0.0057,1.1735,0.2797,-0.1637,1.1719,-0.0586,-4.6912,12.7369,5.93,0.2683,-0.1795,1.1381,3.7801,0.073,3.2118,0.4689
16,False,0.2993,-0.8536,-4.7518,0.1947,0.3672,0.8135,0.0154,1.3609,0.2658,-0.2003,-1.3613,-0.0097,4.4236,0.3267,-0.029,,-0.3097,-4.4893,-12.2557,-1.0105,0.1997,-0.0599,-1.1592,4.7546,0.0643,1.2763,3.4338
17,True,0.1984,3.1057,-9.6498,-0.2361,1.3068,-1.2674,0.0032,-10.1228,0.5348,-0.1393,-0.0535,0.0116,1.8042,0.4926,0.0703,4.5279,-0.4094,-3.2335,-16.1567,2.4242,-0.1223,-0.0395,1.451,9.8775,-0.1323,1.8341,2.2228
18,False,0.2063,2.2934,-9.6479,-0.3651,-0.5123,1.2453,0.0153,0.5585,0.0673,,-2.651,0.0065,-1.4485,0.4187,0.1663,4.0361,-0.0475,2.2684,-2.7347,-1.887,-0.1158,0.1781,1.4915,10.0474,0.124,3.1855,-1.9033
19,False,0.4647,3.0905,-1.5549,-0.221,-0.1063,1.7195,0.0237,0.7591,-1.0792,0.253,0.5368,-0.0171,1.4368,0.3889,0.0467,1.963,1.3115,-4.56,13.6625,-1.3422,-0.1216,0.0297,-0.3679,1.3168,-0.0387,9.452,4.9454
20,False,0.4195,1.3418,-7.4191,0.0369,0.1943,-0.2482,0.0108,-2.8013,-0.8499,0.0732,1.4269,-0.0057,-3.9571,0.4021,-0.2614,3.1556,0.3735,,0.6373,-1.3895,0.0956,0.0139,-2.5341,7.2899,-0.2724,2.539,-2.1403
21,True,0.1905,0.3732,-11.596,-0.2263,0.6002,-1.0834,0.0044,2.414,0.5348,-0.4945,-1.7428,0.0045,-1.9844,0.4825,0.1747,3.2074,-0.9117,-1.7344,-9.4788,0.3871,0.0478,0.1815,2.0693,11.8267,0.0603,2.4952,3.1029
22,True,0.4014,2.6284,-11.3373,-0.5714,-1.2639,-0.2765,0.0086,-5.7099,-0.3207,-0.2226,0.4914,0.0072,1.0608,0.3491,0.178,2.9037,-0.4685,-0.9457,7.9764,2.7085,-0.0173,-0.1255,0.4477,10.6654,-0.0546,0.8525,1.177
23,False,0.0307,-0.6944,-12.279,-0.397,-1.5646,-0.3331,0.0184,-4.2055,0.7993,-0.2359,-1.543,0.0041,0.484,0.0878,0.0602,3.523,-0.21,1.7279,-10.9334,-7.5721,-0.0045,-0.3366,-0.4392,12.6549,0.1353,2.3368,2.4403
24,False,0.2276,2.4833,-2.5322,-0.1335,1.2391,1.2382,0.0278,-2.2497,-0.6735,0.675,2.3624,-0.0321,-1.1491,0.0402,-0.0459,1.0961,0.7723,-1.2096,5.9267,-2.2423,0.316,-0.0948,-1.7088,2.0635,-0.0849,1.2801,3.8221
25,True,0.3739,-0.2509,-10.3918,-0.4049,-0.0161,-0.4959,0.0035,3.3166,0.4951,-0.0829,-1.9698,0.0105,0.6803,0.5142,0.2841,4.0545,-0.919,0.3212,-3.462,-3.9715,0.0469,0.3317,1.7754,10.7326,0.2031,4.0981,0.6877
26,True,0.1476,1.1445,-5.3351,-0.288,-0.0312,-1.4727,0.0086,,-0.356,-0.1928,0.0646,-0.0022,-1.3835,0.6754,0.1444,1.5799,-0.3799,0.3823,15.58,4.3666,0.1256,-0.1934,-4.778,5.4167,0.2086,5.4503,2.5417
27,False,0.4517,2.3655,-11.1756,-0.2096,0.5025,-0.8994,0.0074,-7.7659,0.3363,-0.2909,-0.7437,0.0095,2.1478,0.2248,0.306,4.0361,-0.4722,3.0179,-7.6936,-4.2084,-0.2372,0.0485,-1.873,11.3204,0.2218,3.3127,-1.7944
28,False,0.4206,4.9819,-7.664,0.2429,-0.4897,1.0825,0.0251,5.6234,-0.1002,0.2782,-1.2705,-0.0143,1.3739,0.0777,0.0804,1.0511,0.9422,-0.4469,4.0754,-1.6975,0.2962,-0.1178,-1.1798,7.9896,-0.0974,0.7712,1.6531
29,False,0.4195,1.4196,-3.8345,-0.1245,1.0888,1.5567,0.0281,-0.1937,-1.0704,0.4239,0.8729,-0.0121,-1.2888,0.1369,0.1595,0.3541,1.4371,-1.0255,-6.9002,0.0317,0.0457,0.1318,0.3367,3.5957,0.0605,2.6147,5.1374
30,False,0.3118,2.3683,-4.295,0.6013,-0.9182,0.7569,0.023,-2.9518,0.0541,0.3837,-1.6338,-0.0105,-3.8037,0.157,-0.1839,3.2074,-0.066,0.0385,6.5879,2.4716,0.3558,0.1135,-1.1115,4.5741,-0.2641,5.3636,6.1765
31,False,0.2599,-1.0899,-8.6663,0.3554,0.4574,1.0683,0.0268,11.3402,-0.7881,0.5026,1.0818,-0.013,0.4543,0.1135,-0.2647,1.1036,1.2118,-1.1437,5.7284,-9.017,-0.2757,-0.1566,-1.3532,7.7865,0.042,-0.2117,2.3869
32,True,0.0457,2.3777,-11.4043,-0.1674,-0.6175,-0.8357,0.0092,-3.0019,0.9316,-0.2151,-1.5611,0.0111,1.078,0.6248,0.1158,4.349,-0.7048,-0.2431,0.1745,-0.0867,0.1708,-0.1692,1.1562,11.4212,0.2475,2.5127,1.2745
33,False,0.4456,1.9841,-1.602,0.2545,-0.2717,-0.595,0.0199,-4.1052,-0.1311,0.201,1.9173,0.0066,1.4811,0.2797,-0.1368,0.5194,0.6098,3.1253,9.9599,6.4985,-0.0384,0.1889,-0.4931,1.5476,-0.0175,3.5117,2.4841
34,False,0.2312,3.0767,-9.0161,-0.4982,1.2918,-0.0712,0.0244,-2.4503,-0.7088,0.0806,-2.3604,-0.0003,0.9577,0.0755,0.2286,2.5788,-0.0143,3.8133,-10.5367,-2.5265,0.1084,-0.1604,3.1845,9.3464,-0.2302,1.4078,2.0289
35,False,0.4457,3.0449,-8.4322,-0.0009,-0.5574,-0.1491,0.02,-13.934,-0.8587,0.1519,0.8547,-0.0104,0.025,0.0819,0.0602,0.9384,0.5914,2.6275,1.6291,-0.75,0.048,0.3445,-1.4527,8.0122,0.0316,-0.0145,1.7285
36,True,0.4511,4.1401,-5.9536,-0.1928,-1.1963,-0.956,0.003,,0.2349,-0.172,1.1453,-0.0003,0.3285,0.5546,0.0097,2.272,-0.5867,0.3072,8.7698,7.6355,-0.1401,-0.0747,4.6248,5.5671,,2.1341,1.8453
37,False,0.2832,4.5487,-10.0376,0.0434,0.2169,-0.234,0.0069,,0.9801,-0.2018,-2.651,0.0053,1.8304,0.3872,0.1545,4.2324,-0.9264,-1.1448,-8.4209,-1.8396,-0.1686,0.0941,0.8421,10.2791,-0.0312,2.787,0.9619
38,False,0.4467,-1.855,-3.3921,-0.2974,1.3369,-0.2482,0.0102,-0.6952,-0.0076,0.1802,-0.88,-0.0053,-2.3317,0.2383,0.1259,1.6852,0.5877,2.1689,0.6373,-4.1136,0.0418,-0.1489,1.1754,3.565,-0.2278,1.8464,2.7687
39,True,0.154,2.0623,-10.7616,-0.1712,0.0816,-2.5769,0.0127,0.0069,1.1036,-0.1141,-4.1496,0.0108,-0.1004,0.5027,0.0652,4.4581,-1.0926,-2.448,-13.512,-1.7212,-0.0365,0.2322,3.2792,11.1357,0.1541,3.8394,-0.1619
40,False,0.4547,2.3417,-3.0633,-0.2837,-0.2567,-0.2057,0.0211,-6.6125,-0.2237,,2.0354,0.0032,-1.2246,0.3681,0.0922,0.5351,0.2295,-3.0638,-2.6025,2.7795,-0.2228,0.1094,0.3422,2.8631,-0.1458,0.1425,2.9344
41,False,0.3408,5.4172,-9.0468,0.2345,1.0813,1.6558,0.0241,-3.8544,0.2349,0.2411,0.9909,0.0018,-1.156,0.2548,-0.1721,1.8241,-0.4168,0.2862,-5.0489,-3.6399,0.3789,0.1743,-0.9988,8.7304,-0.3144,0.7001,0.1257
42,False,0.3769,3.1329,-4.9837,0.0348,-1.0835,0.0633,0.0118,-3.6538,-0.9381,0.2307,0.3915,-0.0057,0.444,0.2135,0.0181,2.0093,0.4806,1.7184,4.2738,3.7981,0.0392,-0.2778,2.4923,4.9954,0.0985,3.1667,2.0158
43,False,0.3154,3.8759,-3.9742,0.3452,-1.5871,0.9622,0.0277,1.6116,-0.4045,0.3065,-1.3159,-0.0076,-0.1269,0.3078,-0.0896,2.037,0.9791,1.9832,2.8853,-1.6501,-0.2822,-0.0123,1.1434,4.0875,-0.0861,,-1.4169
44,False,0.2867,1.5996,-0.9472,-0.2528,0.8107,-0.2057,0.0254,0.6588,-0.4354,0.2723,-0.1443,-0.0054,-1.6919,0.3751,-0.2428,0.9985,-0.2765,-1.0404,7.6458,1.1214,-0.0548,-0.2135,4.6831,1.1484,-0.2625,1.4231,-0.28
45,False,0.1885,-2.7755,-8.2879,-0.2771,-0.5874,-0.0712,0.0085,9.5349,0.6185,-0.1661,-1.6156,0.004,2.5465,0.4369,0.0282,3.0963,-0.6642,-2.2621,-7.6936,-0.9158,-0.1284,-0.2395,-1.7328,8.6441,0.0703,-0.5508,1.978
46,False,0.2294,1.4089,-4.4897,0.0493,-0.377,-1.0126,0.0139,-0.7453,0.085,0.0851,1.8083,-0.0021,-1.2871,0.4435,-0.1385,1.021,0.0781,-3.5159,20.7372,6.9486,0.3676,-0.0915,-0.7773,4.2411,,2.1243,1.9967
47,True,0.1556,-0.8079,-11.53,-0.6228,-1.1136,-0.7224,0.0074,0.1574,0.8699,-0.4291,-1.7609,0.0076,-0.0687,0.5142,0.3919,4.5409,-0.7381,,-4.5199,-3.6636,0.1717,0.1996,-2.0445,11.5703,0.1091,4.575,-1.2304
48,False,0.2832,0.6435,-5.2554,0.33,-0.2868,2.123,0.0272,-6.8131,0.2834,0.2649,2.1716,-0.0063,-1.6472,0.0633,-0.2361,1.036,1.2893,1.9137,-0.09,0.9792,0.1357,0.3625,-3.6769,4.5139,0.1083,1.0,-2.5402
49,False,0.4515,0.6662,-9.8618,-0.2385,0.7055,0.3747,0.0068,-4.6568,1.1477,-0.2107,-1.7337,0.0079,-1.4312,0.3267,0.0265,4.0852,-0.1509,4.1325,-0.8173,0.5292,0.2057,-0.1354,-1.328,10.3295,0.0278,,4.1791
50,True,0.0651,1.3414,-4.2828,0.0173,-0.5724,0.0633,0.019,-5.7099,0.4201,-0.5138,-0.7528,0.0126,2.1698,0.6087,-0.0694,2.6949,-0.0438,-3.8168,7.183,0.4344,-0.094,0.1304,1.5965,4.7847,0.053,1.4165,-1.7372
51,False,0.2276,4.5285,-5.4515,0.0138,0.0966,0.672,0.0212,-0.8957,-1.1718,0.3793,1.3633,-0.0116,-0.5317,0.0739,-0.1536,0.5856,0.5914,1.9017,9.6954,-2.1239,0.1349,-0.2037,3.377,5.0255,,2.4879,2.6709
52,True,0.0368,1.6458,-1.1375,-0.0181,-0.6851,-1.7133,0.0053,3.6175,-0.9293,-0.1364,2.2534,-0.0027,0.6085,0.6445,-0.2277,2.1296,0.2036,0.9761,16.7701,3.6323,-0.0662,0.1337,1.9964,0.9596,0.1055,2.916,-0.6702
53,True,0.0366,-0.1156,-5.901,-0.003,0.0966,-1.409,0.0114,-0.7954,-0.1487,-0.389,1.5904,0.0001,-3.8955,0.5636,-0.0459,2.8519,0.2922,-2.8647,18.6214,7.1855,0.2577,-0.1555,-1.3551,5.7176,0.0014,1.6585,4.1958
54,False,0.3844,-0.0684,-2.2673,-0.2429,0.5476,0.0703,0.0136,7.9302,-0.1664,0.2738,2.8074,-0.0104,-2.7757,0.2863,0.0316,1.3802,0.1335,-0.0585,-0.9495,2.2347,0.0234,-0.1088,-0.5069,1.9345,-0.0155,1.7383,0.8512
55,False,0.054,1.5884,-5.4301,0.4458,0.495,0.6437,0.0197,-6.2113,-0.0032,0.1385,-0.0444,-0.0082,-1.9053,0.5614,-0.2092,1.3628,0.1593,5.6085,17.828,2.7085,-0.098,0.3238,-0.2301,5.8595,-0.2478,1.3275,0.7161
56,False,0.3348,2.6852,-9.9214,0.026,-0.5949,0.5233,0.02,-9.1199,0.1688,,0.2916,0.0014,0.7014,0.0831,-0.1822,4.7226,0.2036,-1.6007,0.9679,1.0029,0.3512,-0.2073,0.9458,9.6225,-0.077,1.0243,0.3612
57,True,0.1603,3.8616,-10.5755,0.3194,-1.6548,0.4313,0.0095,1.411,0.9757,-0.3727,-1.7609,0.008,1.5856,0.5659,-0.1519,4.4938,-0.7824,1.5349,-14.9004,-1.9344,0.0681,-0.1338,-0.1009,10.8333,0.0976,2.3081,0.6554
58,False,0.3172,2.1894,-2.8827,-0.1414,0.277,-0.0783,0.017,-13.5328,0.3055,0.1772,1.3815,-0.0092,2.0508,0.5816,-0.0172,2.8667,0.4437,2.9044,18.8858,3.6323,0.0178,-0.0883,-1.2782,2.8115,-0.063,-0.1125,-2.1712
59,False,0.3946,2.884,-9.1343,-0.6982,1.0212,0.5163,0.0277,3.0157,-0.0429,0.3496,-1.8336,-0.0187,0.0921,0.318,0.0652,1.4931,0.9754,1.6316,-6.4373,-3.403,0.1943,-0.0142,-0.5616,9.4101,0.1014,1.4963,0.2014
60,True,0.2867,0.164,-12.0395,-0.0754,-0.0838,-0.5808,0.0031,-17.1936,0.0938,0.039,0.3552,0.0181,0.1094,0.3249,0.0737,2.9111,-0.4537,0.1805,16.3072,4.0587,-0.2636,-0.0064,0.4492,11.9943,0.0815,7.2214,1.4819
61,True,0.3923,-0.1359,-8.2444,-0.4836,-0.843,-1.0268,0.0213,-2.4002,0.4466,,-0.6802,0.008,-1.2609,0.5512,0.3094,,-0.3356,-3.6147,-4.3216,3.9876,0.285,-0.2505,-0.9865,8.5087,-0.0848,2.6256,4.557
62,False,0.4104,0.6356,-5.9615,-0.1506,0.4048,0.5446,0.0204,-0.1937,0.4377,0.0538,-1.0162,0.0085,-2.4744,0.2022,0.1427,,-0.7307,0.2378,-16.6195,-5.677,0.1893,-0.2382,-2.324,5.805,0.1041,5.7584,1.4041
63,True,0.2616,1.7966,-7.1283,-0.0381,-1.1061,-0.6233,0.0082,-3.1524,1.1653,-0.4053,-2.2605,0.005,-0.454,0.3232,0.0114,4.476,-0.4759,4.1555,-6.5696,2.3531,-0.3585,0.3075,1.161,7.3125,-0.4636,2.9437,7.5313
64,False,0.1381,2.0378,-2.4027,-0.435,0.1567,1.8894,0.0144,0.2075,-0.5897,-0.0502,1.9809,0.0065,-0.525,0.52,0.2353,1.7222,0.5027,-0.3817,12.0757,1.9504,0.3465,-0.3746,-1.2705,2.1151,0.4969,,-1.4593
65,False,0.2527,0.4424,-8.1814,-0.1763,2.0359,1.1604,0.0032,0.7591,-0.8719,0.0732,-0.1171,0.0014,1.4808,0.2149,0.0215,1.3021,-0.8156,,27.944,6.4038,0.2482,0.1761,4.4235,8.1701,0.3448,3.5884,-1.3059
66,True,0.2993,-0.5266,-11.5583,0.3562,-0.2642,0.3252,0.0076,-0.7954,0.7993,-0.3058,-1.3159,0.0099,0.4096,0.1739,0.1191,4.1466,-0.9707,-2.1619,-4.0571,-0.5605,-0.1669,0.1812,0.4204,11.9549,0.2457,2.2711,2.0235
67,True,0.0629,-2.0393,-12.0007,-0.2891,-0.1063,-0.9064,0.0067,2.9154,1.302,-0.2315,-3.1596,0.0097,1.9303,0.3163,0.2925,4.4922,-0.3245,0.0609,-4.7844,-2.8582,0.0721,-0.42,0.1475,12.4183,0.0049,1.5675,-2.9455
68,False,0.0487,1.2727,-11.6564,-0.3272,-0.2266,-1.5718,0.0033,,0.4598,,-1.9971,0.0166,2.4993,0.3284,0.1393,4.3245,-1.148,0.6052,-17.1485,-2.7397,-0.2459,0.0007,1.7043,11.7922,-0.0213,-1.9969,-0.347
69,True,0.3784,0.4076,-10.561,0.2614,-1.2489,-1.8832,0.0042,,1.0198,-0.3221,-1.2978,0.0086,-0.4559,,-0.3152,4.441,-0.8415,-1.4824,-10.2061,0.3397,-0.1957,0.2079,-1.4963,10.615,0.1535,0.9906,-0.2949
70,True,0.0502,4.0237,-1.4042,-0.2954,-0.2341,-0.8427,0.0115,-4.8072,-0.1532,-0.1066,-1.1706,0.0068,-0.5842,0.611,-0.0829,2.9556,-0.4463,-0.5166,1.034,4.3192,0.1333,0.1535,0.9004,1.5992,-0.3244,4.3222,3.608
71,True,0.2599,-1.3753,-12.0313,-0.1575,0.0891,-0.0146,0.008,,-0.0738,-0.4276,-0.3714,0.0123,-1.2182,0.4137,0.0737,3.8008,-0.4242,-3.2565,-3.8587,-0.6315,0.1074,0.0004,1.6175,12.019,-0.1583,2.1833,2.0161
72,True,0.2688,4.9544,-4.6025,-0.1335,-1.8578,-1.5647,0.0135,5.7738,0.0144,-0.2151,1.4451,0.012,1.2311,0.6531,-0.2142,3.4892,-0.0401,1.4801,15.58,4.0113,0.1926,0.3261,3.6707,4.1797,0.0569,3.8569,2.2892
73,True,0.0909,3.4284,-10.7706,-0.2059,-1.4293,0.6154,0.0069,6.0747,1.4608,-0.282,-2.3059,0.0212,-1.8535,0.1626,0.2151,3.7127,-1.377,-1.1395,-7.4952,0.3871,0.1708,0.1938,2.5475,11.1525,0.3325,2.0652,3.3663
74,True,0.0343,0.5252,-8.4121,-0.4184,0.2469,-0.8781,0.0073,-3.704,1.5975,-0.3236,-3.9952,0.008,2.096,0.5614,0.269,4.4598,-0.2802,0.7295,-10.8672,-3.8057,0.0989,-0.1857,-0.4684,9.4101,-0.0184,0.1333,3.1986
75,False,0.4489,-2.9748,-3.2542,-0.0023,0.7731,0.4101,0.0264,6.4258,-0.6338,0.2634,1.5359,-0.0134,2.7872,0.2615,-0.0728,0.6607,0.6505,-5.4668,0.5712,-5.5112,-0.202,0.0092,-2.0841,2.9196,0.0482,,-1.3968
76,False,0.0546,-1.2982,-9.3484,-0.3526,-0.2642,-0.1986,0.0201,5.2222,0.5656,0.1088,-1.5066,0.0098,-3.7898,0.5591,0.0787,4.489,-0.306,-2.2708,-4.6522,-3.3793,0.1381,-0.2378,3.9851,9.7925,,2.9856,-0.9548
77,False,0.2706,1.9453,-2.9401,-0.0982,-1.0309,-1.6426,0.0144,-6.0609,-1.185,-0.0323,2.0536,0.0052,0.535,0.4518,-0.2193,1.006,0.6615,-0.9159,14.8527,4.8404,-0.0654,-0.225,3.5874,2.5794,0.2607,3.5986,1.4644
78,True,0.3799,-0.1968,-11.5185,0.0285,-0.6551,0.0774,0.0177,-5.3087,1.086,-0.4157,-1.5611,0.0183,-1.1181,0.507,0.136,,-0.5682,-4.5501,-5.8423,-4.3979,0.3122,0.1095,2.0292,11.6542,0.0179,-1.1289,0.2742
79,True,0.4517,0.4105,-6.8207,-0.1034,-0.6701,-0.5455,0.0189,1.6116,-0.5897,,2.3987,0.0069,1.7425,0.5997,-0.3102,3.4959,-0.3171,-1.3551,10.3566,5.1483,0.0191,-0.3498,2.4183,6.2411,-0.0658,-0.982,2.173
80,True,0.0921,3.0958,-9.2859,-0.1526,0.3822,-0.2977,0.0093,3.5172,1.0816,-0.334,-0.8436,0.0071,-2.1775,0.4912,0.2033,3.9564,-0.8858,0.5901,-3.5281,-5.4638,0.0921,0.1806,-2.3647,9.049,-0.0405,2.3084,1.019
81,True,0.0909,3.4202,-1.7008,-0.1045,-1.8202,-0.871,0.0107,4.9715,-0.259,-0.0115,1.0909,0.0008,0.1715,0.6377,-0.1334,2.6451,-0.1214,4.2332,9.6954,2.9927,-0.2171,-0.0103,-0.4517,1.2199,-0.3509,0.8752,3.398
82,True,0.3634,2.8403,-10.4945,0.072,-0.0161,-0.956,0.003,1.8122,0.6053,-0.493,-1.1343,0.0164,0.5373,0.6076,0.1242,4.0975,-1.4471,1.6671,-10.9334,1.8794,-0.1259,0.2796,-1.1295,10.4302,-0.1864,4.0178,4.5699
83,False,0.0472,1.8098,-1.4469,0.1164,0.3221,0.8418,0.0203,3.1662,0.0673,0.195,0.5187,-0.0038,-3.8955,0.558,-0.1738,1.0285,0.8277,-0.658,-6.7018,-0.3473,-0.0438,0.1693,1.6217,1.2556,0.0048,2.3474,3.1135
84,True,0.2348,3.2262,-5.1607,-0.3316,-1.0008,0.042,0.003,-0.2438,0.0717,-0.2077,0.0555,0.0036,2.7971,0.6279,-0.1115,2.1667,-0.029,-1.1317,4.6044,9.6016,-0.2302,-0.1976,1.5128,4.9954,-0.0388,5.7424,-2.1963
85,False,0.3649,-0.2384,-3.14,0.0593,-0.0688,-0.4747,0.0142,-3.6538,0.1776,-0.2716,1.327,-0.0039,-2.993,0.4352,-0.0391,1.6146,0.9016,-1.1413,15.9767,7.6829,-0.1618,-0.2325,2.9907,3.1655,-0.1488,3.2059,3.3012
86,False,0.2616,0.1838,-6.6122,0.1351,-0.2116,-0.1632,0.0105,1.2104,-0.916,0.2515,2.3714,-0.0102,0.3598,0.4303,-0.0156,,-0.077,-6.6308,12.2741,-2.2186,0.0124,0.1601,-0.3549,5.914,0.0596,3.8508,1.3699
87,False,0.1603,0.8517,-1.1504,0.1272,0.2169,-0.1774,0.0269,2.8653,-0.6118,0.0405,0.6186,-0.0094,-1.3641,0.4984,-0.2344,2.67,0.5618,,19.547,3.1112,-0.261,-0.0473,0.8269,1.0055,-0.094,1.1837,2.3724
88,False,0.4218,0.3153,-4.9552,-0.2019,0.2394,1.8328,0.0223,-3.4031,-0.7837,,0.0827,-0.0163,-0.0836,0.46,0.0972,0.5304,0.9459,-4.8446,0.1083,-3.3793,0.0572,0.3637,1.2276,4.8148,0.0852,-1.0291,2.158
89,False,0.4354,4.7366,-0.8189,-0.1176,0.6228,1.2241,0.0269,-6.2113,-1.7891,0.3362,1.2089,-0.0099,-0.5786,0.0399,0.0619,0.8709,-0.2617,-2.7953,-2.7347,-3.2609,-0.1089,0.1301,4.9473,0.6839,0.1188,3.9577,1.5228
90,True,0.1806,3.1999,-8.3048,0.0297,-1.5195,-0.2836,0.0176,4.4199,0.1247,-0.2374,0.4369,0.0072,-0.8061,0.4767,-0.0172,2.2471,-0.4574,,11.9435,4.7456,0.1605,0.2154,-2.6284,7.7865,,1.8141,2.7357
91,True,0.1746,0.5173,-10.8123,-0.2584,-0.2868,-1.1117,0.0087,-1.999,0.1599,-0.3935,-0.108,0.0011,4.4477,0.4021,0.2218,2.5788,0.6726,-1.5212,3.6787,5.8826,0.1626,-0.0893,0.4743,10.6486,0.2861,1.9054,4.9891
92,False,0.1317,-1.9907,-5.1711,0.1775,-1.4443,0.1624,0.021,0.9597,-0.1223,-0.0056,0.0192,0.0056,-2.4299,0.6271,-0.226,1.0511,0.0227,4.0169,10.2905,4.1297,0.0114,-0.1019,-0.5898,4.875,0.2024,0.493,5.3521
93,True,0.1302,0.2313,-2.7875,0.1198,1.3068,0.2261,0.0114,-2.35,-0.5721,-0.1111,2.2534,0.0055,-0.1579,0.5056,-0.1923,2.8,-0.2432,0.6505,11.4806,6.1669,-0.2936,0.1865,-0.8999,2.0119,-0.0105,2.8365,2.091
